COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;DESCUENTO 30%;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;LOCALIDAD;DEPARTAMENTO;Telefono Municipio/comuna;CUIT;POBLACIÓN ;M/C;PARTIDO 10/12/2019
SI ;SI;Sin convenio;NO;;;;;SI;;2019-04-01;SI;SI;SI;ACHIRAS;RIO CUARTO;03582-495019-495249 // 03582 495088;30999139023;2398;M;CORDOBA CAMBIA
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-01-01;SI;SI;SI;ADELIA MARIA;RIO CUARTO;03585-420407 / 420118;30999051290;7739;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;AGUA DE ORO;COLON;03525-493071;30678715332;2163;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;;;2019-03-01;SI;SI;SI;ALCIRA GIGENA;RIO CUARTO;0358-4969610/611/620;30581388655;5924;M;UCR
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;ALDEA SANTA MARIA;UNION;03468-569000;30668840848;201;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-03-01;SI;SI;SI;ALEJANDRO ROCA;JUAREZ CELMAN;0358-4989111/114;30999097258;5394;M;HPC
SI ;SI;2020;SI;NO;SI;SI;SI;SI;SI;2020-01-01;SI;SI;SI;ALEJO LEDESMA;MARCOS JUAREZ;03468-490600/197;30999066034;3385;M;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;;;2019-03-01;SI;;SI;ALICIA;SAN JUSTO;03533-496369/441;30669170382;3318;M;HPC
SI ;SI;2018;SI;NO;Pendiente;SI;ENVIO DNRPA 27.8;SI;;2019-01-01;SI;SI;SI;ALMAFUERTE;TERCERO ARRIBA;03571-470202 / 471110;30999099471;11845;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-02-01;SI;SI;SI;ALPA CORRAL;RIO CUARTO;0358-4888008 / 9;30683936347;966;M;UCR
SI ;SI;Sin convenio;NO;;;;;;;;;;;ALTA GRACIA;SANTA MARIA;03547-428130-429303;30999012260;48506;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-11-01;SI;;SI;ALTO ALEGRE;UNION;03534-481015;30668245699;817;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;ALTO DE LOS QUEBRACHOS;CRUZ DEL EJE;03549-423805;30668551692;268;C;UCR
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;ALTOS DE CHIPION;SAN JUSTO;03562-493109 / 493317 / 493040;33669144739;1793;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;AMBOY;CALAMUCHITA;03546-491014;30668687187;228;C;FDT
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;SI;Pendiente;SI;Pendiente;AMBUL;SAN ALBERTO;03542-492244;30669246966;732;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;ANA ZUMARAN;UNION;0353 - 4507048;30669069592;98;C;UCR
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;ANISACATE;SANTA MARIA;03547-494052;30709912271;3350;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;ARIAS;MARCOS JUAREZ;03468-440029 / 140/441555;30999066417;7249;M;UCR cambia
NO;NO;Sin convenio;NO;;;;;;;2020-11-01;SI;SI;SI;ARROYITO;SAN JUSTO;03576-421320 /392;30999056799;22726;M;HPC
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;;2019-06-01;SI;SI;SI;ARROYO ALGODON;GENERAL SAN MARTIN;0353-4878014 / 487190 / CEL 0353-154184302;30999114632;692;M;MAV
SI ;SI WEB;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;SI;;;;;ARROYO CABRAL;GENERAL SAN MARTIN;0353-4877138;30999062764;2793;M;UCR
SI ;SI;2020;SI;NO;SI;SI;SI;;;;;;;ARROYO LOS PATOS;SAN ALBERTO;03544-472310;33669244989;634;C;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;ASSUNTA;JUAREZ CELMAN;03584-421112;30668849098;73;C;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;ATAHONA;RIO PRIMERO;03575-499106;30680975740;224;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;SI;Pendiente;Pendiente;Pendiente;AUSONIA;GENERAL SAN MARTIN;0353-4888002 / 039 ;30999114497;1133;M;HPC
SI ;NO;Sin convenio;NO;;;;;;;;;;;AVELLANEDA;ISCHILIN;03521-421225 (Cabina de Mensaje);33682273599;323;C;O/P
SI ;SI;Sin convenio;NO;;;;;SI;;SI;Pendiente;SI;Pendiente;BALLESTEROS;UNION;0353-4930223;30999066654;3928;M;VECINAL
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;BALLESTEROS SUD;UNION;0353-4896331;30668255554;538;M;VECINAL
SI ;SI;Sin convenio;NO;;;;;;;2020-07-01;SI;SI;SI;BALNEARIA;SAN JUSTO;03563-420216;33688853759;6171;M;HPC
SI ;SI;2022;SI;SI;SI;SI;SI;;;;;;;BAÑADO DE SOTO;CRUZ DEL EJE;03549-480211;30668556260;941;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;;2019-02-01;SI;;SI;BELL VILLE;UNION;03537-415427/int - (3537) 415357 – Int. 110;30668248590;34439;M;UCR
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-12-01;SI;SI;SI;BENGOLEA;JUAREZ CELMAN;0353-4873395/35;30668860733;917;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;SI;Pendiente;SI;Pendiente;BENJAMIN GOULD;UNION;03463-494003 / 040;30668854385;704;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-01-01;SI;;SI;BERROTARAN;RIO CUARTO;0358-4940036 / 4941000;30999050375;6886;M;UCR
SI ;SI;2020;SI;SI;SI;SI;SI;SI;SI;;;;;BIALET MASSE;PUNILLA;03541-448180 / 441711;30678661860;5449;M;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;BOUWER;SANTA MARIA;0351-4993100;30677565779;1786;M;VECINAL
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;BRINKMANN;SAN JUSTO;"03562-400350 // 03562 400790
";30669207316;9963;M;HPC
SI ;SI;2018;SI;2018 SI // CON LA RENOVACION CAMBIAN A NO;SI;SI;ENVIO DNRPA 27.8;SI;;2021-02-01;SI;SI;SI;BUCHARDO;GENERAL ROCA;03387-420271 /3385-461954/ 338515462619;30999098939;1795;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2018-10-01;SI;SI;SI;BULNES;RIO CUARTO;03582- 494230 INT. 30;30999100887;1051;M;UNITE POR LA LIBERTAD Y LA DIGNIDAD
SI ;SI;Sin convenio;NO;;;;;;;;;;;CABALANGO;PUNILLA;03541-428782;30678666293;475;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-04-01;SI;;SI;CALCHIN;RIO SEGUNDO;03573-497155 / 101;30669378870;2447;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;CALCHIN OESTE;RIO SEGUNDO;03532-495031 - 495178;30669377955;765;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;2018-09-01;SI;SI;SI;CAMILO ALDAO;MARCOS JUAREZ;03468-401159;30999066891;5209;M;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;SI;SI;ENVIO DNRPA 27.8;SI; ;SI;Pendiente;SI;Pendiente;CAMINIAGA;SOBREMONTE;03521-481001;30682242201;362;C;HPC
SI ;SI;2020;SI;NO;SI;SI;SI;SI;SI;2019-02-01;SI;;SI;CANALS;UNION;03463-420072 / 140;30668850495;8676;M;HPC
SI ;NO;Sin convenio;NO;;;;;SI;;SI;Pendiente;Pendiente;Pendiente;CANDELARIA SUD;TOTORAL;03525-422487;30682304967;125;C;UCR Reelecto
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;SI;SI;Pendiente;CAÑADA DE LUQUE;TOTORAL;03525-495050/020/021;30668353033;1217;M;UCR Reelecto
SI ;NO;Sin convenio;NO;;;;;;;;;;;CAÑADA DE MACHADO;RIO PRIMERO;03574-490117;30680982011;203;C;UCR
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;;;Pendiente;CAÑADA DE RIO PINTO;ISCHILIN;03525-422467;30682312080;193;C;Vecinal
SI ;SI;Sin convenio;NO;;;;;;;;;;;CAÑADA DEL SAUCE;CALAMUCHITA;03546-499520;30668679516;75;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;CAP.GENERAL. B O'HIGGINS;MARCOS JUAREZ;03468-492004;30668207967;497;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;CAPILLA DE LOS REMEDIOS;RIO PRIMERO;03574-496155/012- 03574-496028;30682313079;342;C;UNITE POR LA LIBERTAD Y LA DIGNIDAD
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;CAPILLA DE SITON;TOTORAL;03524-470344 / 03575- 490357;30680995563;550;C;UCR
SI ;SI;2022;SI;SI;SI;SI;si;;;;;;;CAPILLA DEL CARMEN;RIO SEGUNDO;03573-422316 / 543;30668542650;556;M;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-03-01 // Solicitan la baja mediante nota a la privada. Se confirma fecha de baja para el 1/04/2021;SI;SI;SI;CAPILLA DEL MONTE;PUNILLA;03548-481341 int. 122;30668446775;11281;M;HPC
SI ;SI;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;SI;SI;2018-11-01;SI;;SI;CARNERILLO;JUAREZ CELMAN;0358-4883105 / 005 // 0358 4883710;30999226589;1928;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;CARRILOBO;RIO SEGUNDO;0353-4894099 / 033;30999226104;1772;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;SI;Pendiente; SI;Pendiente;CASA GRANDE;PUNILLA;03548-470870 // 3548 - 470572;30678731885;701;C;UCR
NO;NO;Sin convenio;NO;;;;;SI;SI;;;;;CAVANAGH;MARCOS JUAREZ;03468-491091 / 055/ 001;30999121523;1240;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-12-01;SI;SI;SI;CERRO COLORADO;RIO SECO;03522-15403626;30678722460;285;C;UCR
SI ;SI;2018;SI;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;CHAJAN;RIO CUARTO;03582-492025/024/091;30669116655;767;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;CHALACEA;RIO PRIMERO;03575-492005 / 153408366;30685385909;180;C;HPC
SI ;SI WEB;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;;;;;;CHANCANI;POCHO;03542-485801 (policia) Comuna 4;30669254608;463;C;VECINAL
SI ;NO;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;CHAÑAR VIEJO;RIO SECO;03522 422171;30680959052;186;C;HPC
SI ;SI;2018;SI;2018 SI // CON LA RENOVACION CAMBIAN A NO;SI;SI;ENVIO DNRPA 18.6;SI;;SI;Pendiente;SI;Pendiente;CHARBONIER;PUNILLA;03548-487199 / 0348-500038 // 03548 481739;30668542723;553;C;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;SI;2019-01-01;SI;SI;SI;CHARRAS;JUAREZ CELMAN;0358-4885006/112;30999099927;1117;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;;;;;;CHAZON;GENERAL SAN MARTIN;0353-4882029 / 101;30999113954;1080;M;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;2018-12-01;SI;SI;SI;CHILIBROSTE;UNION;03537-499033/ 058;30668288061;614;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;CHUCUL;RIO CUARTO;0358-4912005;30585573120;304;C;UCR
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;CHUÑA;ISCHILIN;03521 427066;30682249613;563;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;CHUÑA HUASI;SOBREMONTE;03522-461001;30682309608;457;C;HPC
SI ;SI;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;CHURQUI CAÑADA;TULUMBA;03522-422242;30692951375;58;C;HPC
SI ;SI WEB;2020;SI;SI;SI;SI;SI;SI;;SI;Pendiente;Pendiente;Pendiente;CIENAGA DEL CORO;MINAS;03542-490516;30668557704;718;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2020-07-01;SI;SI;SI;CINTRA;UNION;03537-495150;30668239001;1205;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;COLAZO;RIO SEGUNDO;03532-493013/029/274;30999230020;1634;M;VECINAL
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;COLONIA ALMADA;TERCERO ARRIBA;03532-494045;30668670055;541;M;HPC
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;COLONIA ANITA;SAN JUSTO;03564-451380;30669191401;8;C;VECINAL
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;COLONIA BARGE;MARCOS JUAREZ;03468-471995;30668257840;175;C;HPC
SI ;NO;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;;;;;COLONIA BISMARCK;UNION;03468-493020 / 493051;30668254329;373;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;COLONIA BREMEN;UNION;03463-493001;30668846331;117;C;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;;;2019-02-01;SI;;SI;COLONIA CAROYA;COLON;03525-461117/151;30999227712;20821;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;COLONIA ITALIANA;MARCOS JUAREZ;03468-422601;30668443490;753;M;O/P Reelecto
SI ;NO;Sin convenio;NO;;;;;;;;;;;COLONIA ITURRASPE;SAN JUSTO;03564-461410;30669195156;6;C;UCR
SI ;SI;No Vigente;SI;Pendiente;SI;Pendiente;SI;;;SI;Pendiente;SI;Pendiente;COLONIA LAS CUATRO ESQUINAS;RIO PRIMERO;03576-499005 // 0357 4481369;33680954009;115;C;UCR
SI ;SI;Sin convenio;NO;;                                                                            ;;;SI;SI;;;;;COLONIA LAS PICHANAS;SAN JUSTO;03576-424009;30669189490;181;C;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-04-01;SI;SI;SI;COLONIA MARINA;SAN JUSTO;03564-494037;30669163947;1153;M;CORDOBA CAMBIA
SI ;SI;Sin convenio;NO;;;;;SI;;;;;;COLONIA PROSPERIDAD;SAN JUSTO;03564-491035;30669169988;377;M;UCR
SI ;SI;2018;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2018-12-01;SI;SI;SI;COLONIA SAN BARTOLOME;SAN JUSTO;03564-496008 / 058;30999230268;1291;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2021-07-01;SI;SI;SI;COLONIA SAN PEDRO;SAN JUSTO;03562-422038;30669207170;151;C;UCR
SI ;SI;Sin convenio;NO;;;;;;;;;;;COLONIA TIROLESA;COLON;0351- 4902127 / 093;30668404533;5342;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;;;;;COLONIA VALTELINA;SAN JUSTO;03562-495911;30669187587;190;C;VECINAL
SI ;SI WEB;2021;SI;SI;SI;SI;SI;;;;;;;COLONIA VICENTE AGUERO;COLON;03525-466847;30652136636;352;C;Vecinal
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 18.6;;;;;;;COLONIA VIDELA;RIO SEGUNDO;03532-421287 / 3532 496513;30681033102;78;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2020-12-01;SI;SI;SI;COLONIA VIGNAUD;SAN JUSTO;03564-450901 // 03564 450950;30669208479;727;M;MOVIMIENTO UNION VECINAL
SI ;SI;Sin convenio;NO;;;SI;;SI;SI;;;;;COMECHINGONES;RIO PRIMERO;03574-495029;30999296048;366;C;VECINAL
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;CONLARA;SAN JAVIER;03544-426070;30669246656;508;C;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;COPACABANA;ISCHILIN;03521-482001;30682278788;74;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;2020-01-01;;;;CORDOBA;CAPITAL;0351- 4285600- 42857 INT. 1105/1106;30999074843;1329604;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;CORONEL BAIGORRIA;RIO CUARTO;0358-4882008 / 128 /;30669133339;1532;M;CORDOBA CAMBIA
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;CORONEL MOLDES;RIO CUARTO;03582-489640/41/43;33999100339;9010;M;HPC
SI ;SI;2018;SI;2018 SI // CON LA RENOVACION CAMBIAN A NO;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-09-01;SI;;SI;CORRAL DE BUSTOS-IFFLINGER;MARCOS JUAREZ;03468-429621/22;30999065976;10426;M;HPC
SI ;SI;2018;SI;NO;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2019-01-01;SI;SI;SI;CORRALITO;TERCERO ARRIBA;03571-492149 / 346;30668675863;1757;M;HPC
SI ;SI;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;;;2021-03-01;SI;SI;SI;COSQUIN;PUNILLA;03541-458024-454902-458022;30999013704;19815;M;Vecinal
SI ;SI;2021;SI;SI;SI;SI;SI;;;2018-09-01;SI;SI;SI;COSTASACATE;RIO SEGUNDO;03572-495001-495171;33680941179;1485;M;CORDOBA CAMBIA 
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2020-04-01;SI;SI;SI;CRUZ ALTA;MARCOS JUAREZ;03467-421193/101 - 03467 15419410 ;30999065801;7200;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;CRUZ DE CAÑA;CRUZ DEL EJE;03549-480222 // 03514251609;30668562546;352;C;UCR
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;CRUZ DEL EJE;CRUZ DEL EJE;03549-423563 /  3549 422013 / 422588;30999135680;30844;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;;;SI;Pendiente;SI;Pendiente;CUESTA BLANCA;PUNILLA;03541-495620;30678672021;510;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;DALMACIO VELEZ;TERCERO ARRIBA;0353-4889256;30999098009;1565;M;HPC
SI ;NO;Sin convenio;NO;;;;;;;;;;;DEAN FUNES;ISCHILIN;03521-420020/20967;30656355081;21518;M;VECINAL
SI ;SI;2021;SI;SI;SI;SI;SI;;;;;;;DEL CAMPILLO;GENERAL ROCA;03583-499011/499100;30999098866;3508;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;DESPEÑADEROS;SANTA MARIA;03547-492017 / 126;30999067715;5988;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2021-03-01;SI;SI;SI;DEVOTO;SAN JUSTO;03564-482141;30669166393;6133;M;UNITE POR LA LIBERTAD Y LA DIGNIDAD
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;DIEGO DE ROJAS;RIO PRIMERO;03575-490141;30677596135;509;C;HPC
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;;;SI;SI;SI;Pendiente;DIQUE CHICO;SANTA MARIA;03547 15531155;33677614299;259;C;HPC
SI ;SI;2018;SI;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2018-10-01;SI;SI;SI;EL ARAÑADO;SAN JUSTO;03533-493115 / cel 03533 442771;30669190103;1776;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;EL BRETE;CRUZ DEL EJE;03549-15470264 / 422364;33668541599;2327;M;UCR
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;EL CHACHO;MINAS;03549-492007 ( Cab Pública);30668554802;401;C;HPC
SI ;NO;Sin convenio;NO;;;;;;;;;;;EL CRISPIN;RIO PRIMERO;03525-427084;30680992599;220;C;HPC
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2019-03-01;SI;SI;SI;EL FORTIN;SAN JUSTO;03533-494140 / 494236;30657321865;1648;M;HPC
SI ;SI;2020;SI;Pendiente;SI;SI;SI;SI;SI;;;;;EL MANZANO;COLON;03525 493225;30678663537;1298;C;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;EL RASTREADOR;JUAREZ CELMAN;03584-492711;30668848245;85;C;UCR
NO;NO;Sin convenio;NO;;;;;;;;;;;EL RODEO;TULUMBA;447-4804;30682273662;236;C;HPC
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;SI;SI;2021-01-01;SI;SI;SI;EL TIO;SAN JUSTO;03576-491297 / 015;30688834925;1920;M;HPC
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;;;;;ELENA;RIO CUARTO;0358-4881001 / 029;30999050200;3007;M;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;EMBALSE;CALAMUCHITA;03571-485592;33668701359;9107;M;HPC
SI ;NO;2018;SI;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;;;;;ESQUINA;RIO PRIMERO;03574-490921;30689774144;273;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;ESTACION GENERAL PAZ;COLON;03525-497275;30678654422;2253;M;HPC
