COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;DESCUENTO 30%;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;LOCALIDAD;DEPARTAMENTO;Telefono Municipio/comuna;CUIT;POBLACIÓN ;M/C;PARTIDO 10/12/2019
SI ;SI;Sin convenio;NO;;;;;;;;;;;ESTACION JUAREZ CELMAN;COLON;0351-4904950/51/52;30655791635;12129;M;UCR
SI ;SI WEB;2021;SI;SI;SI;SI;SI;;;SI;Pendiente;Pendiente;Pendiente;ESTANCIA DE GUADALUPE;MINAS;03542-490705;30668549515;522;C;VECINAL
SI ;SI;Sin convenio;NO;;;;;;;;;;;ESTANCIA VIEJA;PUNILLA;03541-429208;30678688165;909;C;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;ETRURIA;GENERAL SAN MARTIN;0353-4929500;30999114012;4130;M;UCR
SI ;NO;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;;2020-11-01;SI;SI;SI;EUFRASIO LOZA;RIO SECO;03522-422175;30682234497;166;C;UNION VECINAL
SI ;SI;Sin convenio;NO;;;;;;;;;;;FALDA DEL CARMEN;SANTA MARIA;03547-402838;30681018405;610;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;FREYRE;SAN JUSTO;03564-461002 / 200;30669189180;6922;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;GENERAL BALDISSERA;MARCOS JUAREZ;03468-494220 / 281- 434650;30999066107;2397;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;2019-03-01;SI;SI;SI;GENERAL CABRERA;JUAREZ CELMAN;0358-4930660/120/141;30999051436;11837;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-02-01;SI;SI;SI;GENERAL DEHEZA;JUAREZ CELMAN;0358-4057500/01/2/3;30999051363;11083;M;VECINAL
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;;;2019-04-01;SI;SI;SI;GENERAL FOTHERINGHAM;TERCERO ARRIBA;03571-496030;30668673712;313;C;CAMBIEMOS
SI ;SI;Sin convenio;NO;;;;;;;2021-01-01;SI;SI;SI;GENERAL LEVALLE;ROQUE SAENZ PEÑA;03385-480050-480419;30999051673;5718;M;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2020-03-01;SI;SI;SI;GENERAL ROCA;MARCOS JUAREZ;03472-492107;30668939836;2785;M;HPC
NO;NO;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;;;SI;Pendiente;Pendiente;Pendiente;GUANACO MUERTO;CRUZ DEL EJE;03549-424100 / 15430729 ;30668538289;554;C;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;GUASAPAMPA;MINAS;03542-471101;33668550849;241;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;GUATIMOZIN;MARCOS JUAREZ;03468-495002/316;30999116163;2475;M;UCR Reelecto
NO;NO;Sin convenio;NO;;;;;;;;;;;GUTEMBERG;RIO SECO;03522-427798;30682234322;691;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;HERNANDO;TERCERO ARRIBA;0353-4960148 / 328;30999050448;10284;M;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2018-09-01;SI;SI;SI;HUANCHILLA;JUAREZ CELMAN;03584-492033/ 492242;30999099781;1147;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;HUERTA GRANDE;PUNILLA;03548-421032 / 421531;30651167198;5933;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;HUINCA RENANCO;GENERAL ROCA;02336-442410 / 610-494000;30999101492;9487;M;UCR
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;;;;;ICHO CRUZ;PUNILLA;03541-495500;30668261767;1921;M;VECINAL
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;IDIAZABAL;UNION;03537-496001 / 150;30677601813;1556;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;IMPIRA;RIO SEGUNDO;03572-422400;30668448379;163;C;HPC
SI ;SI;2018;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;SI;2019-01-01;SI;SI;SI;INRIVILLE;MARCOS JUAREZ;03467-480110/481 /javier protto SECRETARIO (03467-15498090);30999121760;3722;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;                                                                                         ;SI;;;;;ISLA VERDE;MARCOS JUAREZ;03468-400961/963;30999098556;4390;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;SI;2020-02-01;SI;SI;SI;ITALO;GENERAL ROCA;03387-498014/13;30999099161;1120;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;JAMES CRAIK;TERCERO ARRIBA;0353-4970326 / 204;30999122201;5250;M;VECINAL
SI ;SI;2020;SI;NO;SI;SI;SI;SI;SI;;;;;JESUS MARIA;COLON;03525-443785/443777;30999101328;31864;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;JOVITA;GENERAL ROCA;03385-498109 /020;30999115868;4823;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;JUSTINIANO POSSE;UNION;03537-431101 / 544 / 432708;33689759519;8569;M;UCR Reelecto
SI ;NO;2020;SI;NO;SI;SI;SI;;;;;;;KILOMETRO 658;RIO PRIMERO;03574-499825;30668561310;1033;C;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;LA BATEA;CRUZ DEL EJE;03549-492048;30999038715;180;C;UCR
SI ;SI;2020;SI;N0;SI;SI;SI;SI;SI;;;;;LA CALERA;COLON;03543-469660/662;30999050138;32227;M;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 18.6;SI;;SI;Pendiente;Pendiente;Pendiente;LA CARLOTA;JUAREZ CELMAN;03584-429681/2;30669126448;12722;M;HPC
SI ;SI WEB;Sin convenio;NO;;;;;SI;SI;SI;Pendiente;Pendiente;Pendiente;"LA CAROLINA ""EL POTOSI""";RIO CUARTO;0358-4801017;30999100402;165;C;UCR
SI ;SI;Sin convenio;NO;;;;;;;;;;;LA CAUTIVA;RIO CUARTO;03583-491142;30668752531;1014;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2020-12-01;SI;SI;SI;LA CESIRA;ROQUE SAENZ PEÑA;03382-491232;30999101700;1318;M;CORDOBA CAMBIA
SI ;SI WEB;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;LA CRUZ;CALAMUCHITA;03546-494144;30999025575;1551;M;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;SI;SI;SI;SI;SI;2019-02-01;SI;SI;SI;LA CUMBRE;PUNILLA;03548-452880/452334;30681015740;7761;M;HPC
SI ;SI;Baja de convenio 01.01.2021;SI;NO RENUEVAN EL CONVENIO. BAJA A PARTIR DEL 01.01.2021;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;LA CUMBRECITA;CALAMUCHITA;03546-481051;30999025338;776;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;;;;;;LA FALDA;PUNILLA;03548-421610 / 425983;30654689403;16379;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-01-01;SI;SI;SI;LA FRANCIA;SAN JUSTO;03564-471360 / 230;33678663609;3804;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;LA GRANJA;COLON;03525-491212 /491456;30668557879;3182;M;HPC
SI ;NO;Sin convenio;NO;;;;;;;;;;;LA HIGUERA;CRUZ DEL EJE;03542-490445;30999114187;411;C;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;LA LAGUNA;GENERAL SAN MARTIN;0353-4880011;30685335642;1524;M;UCR
NO;SI;Sin convenio;NO;;;;;;;;;;;LA PAISANITA;SANTA MARIA;03547 488541;30669355463;155;C;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2018-11-01;SI;SI;SI;LA PALESTINA;GENERAL SAN MARTIN;0353-4887044/353-4240216;30682273352;502;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;LA PAMPA;TOTORAL;03525-492100;30651153278;952;C;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-02-01;SI;SI;SI;LA PAQUITA;SAN JUSTO;03562-495009-495246;30999131863;964;M;HPC
SI ;SI;2018;SI;2018 SI // CON LA RENOVACION CAMBIAN A NO;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;LA PARA;RIO PRIMERO;03575-491001/28;30669246893;3489;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;LA PAZ;SAN JAVIER;03544-496010/496227;30689768241;3580;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;LA PLAYA;MINAS;03542-471001;30999062691;220;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;LA PLAYOSA;GENERAL SAN MARTIN;0353-4899222;30669245595;2757;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;LA POBLACION;SAN JAVIER;03544-482058 // 03544 - 482475;30680975678;535;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;;;;;;LA POSTA;RIO PRIMERO;03575-490414;30999132541;241;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2020-04-01;SI;SI;SI;LA PUERTA;RIO PRIMERO;03575-422040;30681009465;2185;M;UCR
NO;NO;Sin convenio;NO;;;;;;;;;;;LA QUINTA;RIO PRIMERO;03575-480518;30685338781;208;C;HPC
SI ;NO;Sin convenio;NO;;;;;;;;;;;LA RANCHERITA Y LAS CASCADAS;SANTA MARIA;03547-488773/03547-15503833;33678730969;350;C;HPC
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;SI;Pendiente;LA RINCONADA;RIO SECO;03522-422185;30682282777;217;C;FDT
NO;NO;Sin convenio;NO;;;;;;;;;;;LA SERRANITA;SANTA MARIA;03547-492638-4887;30669149618;436;C;HPC
SI ;SI WEB;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-09-01;SI;SI;SI;LA TORDILLA;SAN JUSTO;03576-496011;30999063515;1257;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-01-01;SI;SI;SI;LABORDE;UNION;03537-460130;30999098793;5957;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;LABOULAYE;ROQUE SAENZ PEÑA;03385-427585 int. 107;33999018519;20658;M;UCR
SI ;SI;2018;SI;NO;Pendiente;SI;ENVIO DNRPA 18.6;;;2018-12-01;SI;SI;SI;LAGUNA LARGA;RIO SEGUNDO;03572-480303- 480101;30999100577;7487;M;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2020-04-01;SI;SI;SI;LAS ACEQUIAS;RIO CUARTO;0358-4890008 / 5;30669122248;2544;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS ALBAHACAS;RIO CUARTO;0358-4919503/4623134;30668352975;342;C;CORDOBA CAMBIA
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2019-01-01;SI;SI;SI;LAS ARRIAS;TULUMBA;03522-493176 ;33668654989;1179;M;JUNTOS POR ARRIAS
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;;;;;LAS BAJADAS;CALAMUCHITA;03571-437009 o 437025;30668676541;141;C;UCR
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;SI;SI;SI;Pendiente;LAS CALERAS;CALAMUCHITA;0358-4887720;30669239455;268;C;PAÍS
SI ;SI WEB;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;;;SI;Pendiente;Pendiente;Pendiente;LAS CALLES;SAN ALBERTO;03544-495132;30668564212;700;C;HPC
NO;NO;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;SI;;;;;;LAS CAÑADAS;CRUZ DEL EJE;03548-443001;30680988745;272;C;UCR
SI ;SI;2021;SI;SI;SI;SI;SI;;;;;;;LAS GRAMILLAS;RIO PRIMERO;03576-499318;30999051509;109;C;UCR
SI ;SI;Sin convenio;NO;;;;;SI;;SI;Pendiente;Pendiente;Pendiente;LAS HIGUERAS;RIO CUARTO;0358-4970006;33668640139;6202;M;VECINAL
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS ISLETILLAS;TERCERO ARRIBA;0353-4871001;30703376793;190;C;VECINAL
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS JUNTURAS;RIO SEGUNDO;03532-492096;30669240542;1748;M;UCR
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS PALMAS;POCHO;03542-420192 ( cab. publica);30999132479;123;C;CAMBIEMOS
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;LAS PEÑAS;TOTORAL;03524-492100;30668655110;1664;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;SI;SI;Pendiente;LAS PEÑAS SUD;RIO CUARTO;0353-4879020;30999050510;148;C;UNITE POR LA LIBERTAD Y LA DIGNIDAD
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;LAS PERDICES;TERCERO ARRIBA;0353-490000-4940233;30659361511;5144;M;HPC
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;LAS PLAYAS;CRUZ DEL EJE;0354-422114-424672;30669254535;962;C;UCR
SI;NO;2021;SI;SI;SI;SI;SI;;;;;;;LAS RABONAS;SAN ALBERTO;03544-499025;30677598286;703;C;HPC
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;LAS SALADAS;RIO PRIMERO;;30669243371;134;C;UCR
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;LAS TAPIAS;SAN JAVIER;03544-483037 // 03544 483089;30669190898;1936;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS VARAS;SAN JUSTO;03533-495133 / 223;30669188338;1320;M;JUNTOS POR LAS VARAS
SI ;SI;2021;SI;SI;SI;SI;SI;;;2019-03-01;SI;SI;SI;LAS VARILLAS;SAN JUSTO;03533-422150/151/152 / 4-56200/4-21362/4-55900;30999101255;16316;M;VECINAL
SI ;SI;Sin convenio;NO;;;;;SI;;;;;;LAS VERTIENTES;RIO CUARTO;0358-4914137 / 150;30668761719;766;M;UCR
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;LEGUIZAMON;ROQUE SAENZ PEÑA;03382-491354;30999066344;55;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;2019-01-01;SI;SI;SI;LEONES;MARCOS JUAREZ;03472-481088 / 405 / 484100 ;33680973909;10529;M;HPC
SI ;NO;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;LOS CEDROS;SANTA MARIA;03547-489905/489976;30669245110;1092;C;HPC
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;LOS CERRILLOS;SAN JAVIER;03544-490007;30668543193;2306;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;LOS CHAÑARITOS;CRUZ DEL EJE;03549-422481;30685354787;219;C;VECINAL
SI ;SI ;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;;;;;;;LOS CHAÑARITOS;RIO SEGUNDO;03576-498098;30999099234;564;C;
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;LOS CISNES;JUAREZ CELMAN;03584-493006;30999045606;563;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;LOS COCOS;PUNILLA;03548-492025/492262;30999051126;1245;M;CORDOBA CAMBIA
SI ;SI;Sin convenio;NO;;;;;;;;;;;LOS CONDORES;CALAMUCHITA;03571-493313/12;33669240169;2964;M;UCR
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;LOS HORNILLOS;SAN JAVIER;03544-499019 // 03544 499019;30682240462;1228;C;HPC
SI ;SI;2019;SI;SI;SI;SI;SI;SI;SI;SI;Pendiente;SI;Pendiente;LOS HOYOS;RIO SECO;03522-422266 // 03522 - 15427799;30682321403;279;C;HPC
SI ;NO;2020;SI;NO;SI;SI;SI;;;;;;;LOS MISTOLES;TOTORAL;03525-422497;33668677849;187;C;HPC
SI ;SI;2018;SI;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;LOS MOLINOS;CALAMUCHITA;03547-492124 / 03547 - 578388;30668550467;338;C;O/P Reelecto
NO;NO;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;LOS POZOS;ISCHILIN;03546-492001;30668746701;95;C;Vecinal
;;;;;;;;;;;;;;LOS REARTES;CALAMUCHITA;;;1426;C;UCR
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;2018-09-01;SI;SI;SI;LOS SURGENTES;MARCOS JUAREZ;03467-495017 / 5132;30669249485;2795;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;LOS TALARES;POCHO;;30668670675;157;C;PRO
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;LOS ZORROS;TERCERO ARRIBA;0353-4841010;30677576487;512;M;UCR
NO;NO;Sin convenio;NO;;;;;SI;SI;;;;;LOZADA;SANTA MARIA;03572-492032/492196;33999114569;1041;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;LUCA;GENERAL SAN MARTIN;0353-4872008;30680952406;563;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;LUCIO V. MANSILLA;TULUMBA;03521-493002;33999246619;881;M;HPC
SI ;SI;2020;SI;NO;SI;SI;SI;SI;SI;SI;SI;Pendiente;Pendiente;LUQUE;RIO SEGUNDO;03573-480348 / 113;30668692164;6281;M;UCR
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;SI;Pendiente;Pendiente;Pendiente;LUTTI;CALAMUCHITA;03546-472001;30669245668;183;C;UCR
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-12-01;SI;SI;SI;LUYABA;SAN JAVIER;03544-497111;30637237159;1595;C;HPC
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;MALAGUEÑO;SANTA MARIA;0351-4981185/86/4982002 // Registro: 0351- 4981643;30669114989;13102;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;MALENA;RIO CUARTO;03582-496014;30678660635;368;C;Vecinal
SI ;SI;Sin convenio;NO;;;;;;;;;;;MALVINAS ARGENTINAS;COLON;0351-4997526 / 4997694;30677630678;12581;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-10-01;SI;SI;SI;MANFREDI;RIO SEGUNDO;03572-493024;30681019495;964;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;MAQUINISTA GALLINI;RIO PRIMERO;03575-427799;30999065739;69;C;UCR
SI ;SI;Sin convenio;NO;;;;;;;2019-03-01;SI;SI;SI;MARCOS JUAREZ;MARCOS JUAREZ;03472-456030 - 615;30657956550;27071;M;PRO
SI ;SI;2020;SI;NO;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2019-03-01;SI;SI;SI;MARULL;SAN JUSTO;03563-492030;30689784484;1799;M;HPC
SI ;SI;2018;SI;NO;Pendiente;SI;ENVIO DNRPA 27.8;;;;;;;MATORRALES;RIO SEGUNDO;03573-493030/70;30999138965;981;M;HPC
SI ;SI;No Vigente;SI;Pendiente;SI;Pendiente;Pendiente;SI;;SI;Pendiente;SI;Pendiente;MATTALDI;GENERAL ROCA;03583-481578/579;30678671726;1842;M;UCR
SI ;SI;2021;SI;NO;SI;SI;SI;;;;;;;MAYU SUMAJ;PUNILLA;03541-496281;30668561868;1383;C;HPC
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;Pendiente;;;;;;;MEDIA NARANJA;CRUZ DEL EJE;03549-424000;30668758262;936;C;HPC
SI ;SI;2018;SI;2018 NO // CON LA RENOVACION CAMBIAN A SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;2018-09-01;SI;SI;SI;MELO;ROQUE SAENZ PEÑA;03385-492055-492109;30682253777;1254;M;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;SI;Pendiente;SI;Pendiente;MENDIOLAZA;COLON;03543-644801/644696 ;30682271139;10317;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;;;;;MI GRANJA;COLON;0351-4917550;30653277934;2149;M;HPC
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;MINA CLAVERO;SAN ALBERTO;03544-470473 int. 800/531;30669153151;9434;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;SI;Pendiente;Pendiente;Pendiente;MIRAMAR;SAN JUSTO;03563-493003;33999063069;2212;M;HPC
SI;NO;Sin convenio;NO;;;;;SI;SI;;;;;MONTE BUEY;MARCOS JUAREZ;03467-470157/675;30999101565;6285;M;UCR
SI ;SI;Sin convenio;NO;;;;;;;2018-12-01;SI;SI;SI;MONTE CRISTO;RIO PRIMERO;0351- 4917179 / 223;30668260159;10332;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;2021-04-01;SI;SI;;MONTE DE LOS GAUCHOS;RIO CUARTO;03585-492029 / 050;33999063689;694;M;UCR Reelecto
SI ;SI;Sin convenio;NO;;;;;;;;;;;MONTE LEÑA;UNION;03537-482021;30999122066;436;M;UCR
SI ;SI;Sin convenio;NO;;;;;SI;SI;2018-12-01;SI;SI;SI;MONTE MAIZ;UNION;03468-479600/01;30999122139;7478;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;MONTE RALO;SANTA MARIA;03547-493025/003;30999065666;535;M;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;MORRISON;UNION;03537-480104 / 480164;30669163181;3397;M;Vecinal
SI ;SI;Sin convenio;NO;;;;;SI;SI;SI;Pendiente;SI;Pendiente;MORTEROS;SAN JUSTO;03562-402109;30668756979;17124;M;UCR
